Vadret d'Agnel,E35/15,2774296,1153823,0,,
Vadrec da l'Albigna,C84/16,2769340,1129180,2,,
Grosser Aletschgletscher,B36/26,2645546,1150471,80,,
Allalingletscher,B51/13,2643405,1109265,0,,
Kanderfirn,A55b/13,2628287,1147808,12,,
Ammertegletscher,A55f/01,2608024,1140522,0,,
Glacier de l'A Neuve,B85/07,2570087,1087120,2,,
Bas Glacier d'Arolla,B73/14,2603981,1090382,5,,
Ghiacciaio del Basòdino,C14/10,2679681,1140820,1,,
Bella Tola Gletscher,B61/02,2616379,1121196,0,,
Bifertengletscher,A50i/12,2713535,1184502,2,,
Bisgletscher,B58/08,2621598,1106872,4,,
Blauschnee,A22/02,2744189,1235041,0,,
Blüemlisalpgletscher,A55b/02,2625593,1149353,2,,
Glacier de Boveire,B84/04,2586228,1090508,1,,
Glacier du Brenay,B82/19,2600296,1092098,7,,
Vadrecc di Bresciana,C44/02,2722623,1150658,0,,
Brunegggletscher,B60/20,2622444,1108209,,,x
Brunnifirn,A51d/15,2702202,1177516,2,,
Vadret Calderas,E35/17,2773564,1155247,0,,
Vadrecc di Camadra,C42/02,2712552,1163581,0,,
Vadret dal Cambrena,C93/09,2796220,1140818,1,,
Vadrec dal Cantun,C84/09,2772463,1131973,0,,
Ghiacciaio del Cavagnöö,C14/17,2679092,1144703,0,,
Glacier de Cheilon,B74/08,2598710,1095161,3,,
Claridenfirn,A50i/19,2710170,1188862,2,,
Glacier de Corbassière,B83/03,2589018,1089946,15,,
Ghiacciaio del Corno,C34/01,2673244,1145296,0,,
Vadret dal Corvatsch,E23/18,2783300,1143402,0,,
Ghiacciaio Grande di Croslina,C32/02,2699252,1143111,0,,
Dalagletscher,B25/04,2620248,1140550,0,,
Dammagletscher,A51f/10,2675836,1165229,4,,
Glacier du Dar,B16/02,2582352,1130827,0,,
Tungelgletscher,A56d/01,2594871,1134516,0,,
Eigergletscher,A54m/03,2643038,1157678,1,,
Glacier de l'En Darrey,B74/11,2595553,1095939,1,,
Vadret d'Err,A12i/03,2773197,1157350,0,,
Feegletscher,B53/04,2633447,1103257,13,,
Glacier de Ferpècle,B72/11,2611028,1094504,9,,
Fieschergletscher,B40/07,2653532,1151072,30,,
Findelgletscher,B56/03,2634199,1093256,14,,
Firnalpeligletscher (Ost),A51h/13,2677509,1180097,0,,
Firnalpeligletscher (West),A51h/14,2676712,1180582,0,,
Vadrec del Forno,C83/12,2773965,1130681,6,,
Gamchigletscher,A55a/04,2628738,1149923,1,,
Gauligletscher,A54i/05,2654950,1163000,11,,
Gältegletscher,A56d/04,2591259,1133080,0,,
Glacier du Giétro,B82/14,2596540,1092716,5,,
Glärnischfirn,A50k/04,2718858,1207049,1,,
Gornergletscher,B56/07,2630014,1087758,41,,
Grand Désert,B75/06,2593063,1101501,1,,
Grand Plan Névé,B17/03,2577352,1121439,0,,
Glacier des Grands,B90/04,2565941,1094701,1,,
Griesgletscher,B45/04,2667666,1142563,4,,
Griessgletscher,A51c/02,2705222,1188057,1,,
Griessengletscher,A51h/02,2680961,1188309,0,,
Hohbalmgletscher,B53/07,2633661,1106482,1,,
Hohlaubgletscher,B52/32,2635865,1099935,2,,
Hüfifirn,A51d/10,2708523,1187189,12,,
Jegigletscher,B31/02,2635813,1147848,1,,
Jörigletscher,A10g/18,2793104,1182537,0,,
Chaltwassergletscher,B47/04,2650003,1122193,1,,
Kartigelfirn,A51f/32,2682539,1172306,1,,
Chelengletscher,A51f/15,2674023,1170534,1,,
Chessjengletscher,B52/33,2637635,1101502,0,,
Wildstrubelgletscher,A55c/13,2607564,1138965,2,,
Langgletscher,B31/04,2639244,1146352,8,,
Glatscher da Lavaz,A14f/15,2714592,1165004,0,,
Vadret Laviner,E35/23,2775117,1157294,0,,
Läntagletscher,A14d/17,2722763,1151328,0,,
Limmerengletscher,A50i/06,2716983,1185595,1,,
Vadret da Lischana,E02/06,2821979,1182058,0,,
Lötschegletscher,A55b/16,2620631,1140996,0,,
Ghiacciaio di Lucendro,A51e/16,2683030,1155151,0,,
Glacier des Martinets,B17/08,2572472,1116790,0,,
Mittelaletschgletscher,B36/21,2644355,1145459,7,,
Mittlebärggletscher,B46/06,2666396,1139214,0,,
Glacier de Moiry,B64/02,2612718,1101733,4,,
Glacier de Moming,B62/10,2618827,1102860,0,,
Glacier du Mont Durand,B82/36,2590717,1085830,6,,
Glacier de Tortin,B75/12,2590203,1103284,0,,
Glacier du Mont Miné,B72/15,2609015,1093869,10,,
Vadret da Morteratsch,E22/03,2791358,1139915,14,,
Ghiacciaio de Mucia,C53/03,2728729,1148784,0,,
Vadret dal Murtèl,E23/16,2783169,1142298,0,,
Muttgletscher,B44/03,2675342,1155773,0,,
Oberaargletscher,A54g/03,2656959,1153166,4,,
Oberaletschgletscher,B36/01,2640387,1141429,18,,
Oberer Grindelwaldgletscher,A54l/04,2653042,1162205,8,,
Ofentalgletscher,B52/17,2643800,1095860,0,,
Glacier d'Orny,B85/23,2569499,1093682,1,,
Glacier d'Otemma,B82/27,2601423,1089492,12,,
Vadret da Palü,C93/04,2794681,1138432,5,,
Glacier de Paneirosse,B17/02,2578359,1122658,0,,
Paradiesgletscher,A13n/06,2724025,1149185,1,,
Vedreit da Camp,C95/01,2805251,1144566,0,,
Petit Plan Névé,B17/04,2576925,1121025,0,,
Glacier de Pièce,B73/15,2602817,1093605,1,,
Glacier de Pierredar,B16/05,2580305,1128321,0,,
Pizolgletscher,A50d/01,2748465,1202786,0,,
Plattalvagletscher,A50i/07,2718199,1188039,0,,
Vadret da Porchabella,A12e/04,2787109,1166883,1,,
Glacier de Prapio,B16/03,2582159,1129760,0,,
Glatscher da Punteglias,A14m/09,2715449,1184205,0,,
Glacier de la Plaine Morte,A55f/03,2605490,1136628,7,,
Rhonegletscher,B43/03,2673742,1165585,16,,
Riedgletscher,B54/03,2632568,1108588,7,,
Vadret da Roseg,E23/11,2784697,1138744,6,,
Rosenlouwigletscher,A54j/02,2654237,1165662,5,,
Rossfirn,A51f/52,2682279,1181212,0,,
Rossbodegletscher,C02/04,2643813,1114106,1,,
Rotfirngletscher,A51f/13,2674959,1167997,1,,
Ghiacciaio del Pizzo Rotondo,C35/03,2678645,1151510,0,,
Glacier de Saleinaz,B85/16,2568551,1090970,6,,
Sankt Annafirn,A51e/12,2689146,1161307,0,,
Chline Gletscher,A15b/05,2738559,1198595,0,,
Ghiacciaio di Sasso Nero,C15/01,2685206,1144998,,,x
Scalettagletscher,A12d/03,2792109,1174540,0,,
Flachensteinfirn,A51f/23,2678209,1171151,2,,
Glatt Firn,A51g/05,2683418,1181672,2,,
Schwarzgletscher,A55c/05,2618609,1141318,1,,
Schwarzwasserfirn,A51e/08,2689872,1161209,0,,
Schwarzberggletscher,B52/24,2637447,1094387,5,,
Schwarzhorngletscher,E46/03,2791295,1179518,0,,
Seewjinengletscher,B52/22,2639616,1094400,1,,
Glatschiu dil Segnas,A14p/03,2737980,1197248,0,,
Vadret da Sesvenna,E03/04,2827159,1177502,0,,
Glacier du Sex Rouge,B16/01,2582546,1130648,0,,
Silvrettagletscher,A10g/05,2801722,1192164,2,,
Glacier du Sonadon,B84/11,2588624,1086612,0,,
Steigletscher,A54e/12,2675903,1172011,5,,
Steilimigletscher,A54e/13,2672986,1172932,1,,
Hinter Sulzgletscher,A50i/02,2722294,1193014,0,,
Surettagletscher,A13i/02,2748569,1152477,0,,
Tälligletscher,B46/07,2667038,1137737,0,,
Tällibodengletscher,B52/20,2642599,1094500,0,,
Tambogletscher,A13k/03,2742068,1151870,0,,
Vadret Tiatscha,E50/07,2802510,1191413,1,,
Tiefengletscher,A51e/37,2675637,1162780,2,,
Glacier du Trient,B90/02,2568025,1093356,5,,
Triftgletscher,A54e/24,2671989,1166738,14,,
Glacier de Zanfleuron,B22/01,2582852,1129869,2,,
Vadret da Tschierva,E23/06,2788245,1139896,5,,
Tschingelfirn,A54m/21,2630277,1149152,5,,
Glacier du Tseudet,B84/17,2585592,1083617,1,,
Glacier de Tsijiore Nouve,B73/16,2600879,1093938,2,,
Turbegletscher,B46/05,2665237,1139757,0,,
Turtmanngletscher,B60/09,2620358,1107645,10,,
Vadret Üertsch,A12e/07,2784126,1163792,0,,
Unteraargletscher,A54g/11,2657374,1157798,23,,
Unterer Grindelwaldgletscher,A54l/19,2647929,1159564,9,,
Ghiacciaio di Valleggia,C33/08,2681827,1146963,0,,
Glacier de Valsorey,B84/15,2585899,1082282,2,,
Ghiacciaio di Val Torta,C33/04,2684482,1147055,0,,
Verstanclagletscher,A10g/08,2800997,1191028,0,,
Vorabgletscher,A14p/01,2731811,1193199,1,,
Wallenburfirn,A51f/24,2678186,1172930,1,,
Witenwasserengletscher,A51e/20,2679432,1153824,0,,
Zapportgletscher,A13n/04,2726191,1148952,1,,
Glacier de Zinal,B63/05,2615506,1100739,13,,
Zmuttgletscher,B57/05,2614440,1093288,15,,
